Salary,JobInsecurity,JobSatisfaction,Tenure,EmotionalExhaustion,Domain,OrgLevel,Demographics,SupervisorSatisfaction,CareerAdvancement,WorkLifeBalance,OrgAlignment,LaborMarketCondition,Salary_JS,JS_SupS,Tenure_CA,Exhaustion_WLB,CA_Align,Domain_LMC,leave
72130.12,0.58,5,0.9,0.65,Finance,Mid,Young/Married,4,1,1,2,0,360650.61,20,0.9,0.65,2,Finance_0,1
60517.78,0.61,3,4.84,0.13,Marketing,Mid,Young/Single,4,0,2,2,1,181553.33,12,0,0.26,0,Marketing_1,1
75504.41,0.53,4,2.54,0.25,Product Design,Mid,Older,4,0,3,2,1,302017.64,16,0,0.74,0,Product Design_1,1
87706.1,0.56,1,3.84,0.71,HR,Executive,Young/Married,5,1,2,1,1,87706.1,5,3.84,1.43,1,HR_1,1
66922.64,0.4,1,1.89,0.19,IT,Senior,Young/Single,3,1,2,2,0,66922.64,3,1.89,0.38,2,IT_0,1
57019.22,0.47,3,2.04,0.25,Marketing,Mid,Young/Single,3,1,1,2,0,171057.66,9,2.04,0.25,2,Marketing_0,1
67449.44,0.49,4,2.83,0.4,Marketing,Entry,Young/Single,4,1,3,2,1,269797.76,16,2.83,1.19,2,Marketing_1,1
58454.46,0.71,4,6.46,0.16,Accounting,Entry,Young/Single,2,1,2,3,1,233817.83,8,6.46,0.32,3,Accounting_1,1
53987.64,0.46,2,1.56,0.23,Product Design,Entry,Older,3,1,2,3,1,107975.28,6,1.56,0.45,3,Product Design_1,1
73913.1,0.37,3,0.63,0.13,IT,Entry,Young/Single,5,0,3,1,0,221739.31,15,0,0.39,0,IT_0,1
53172.21,0.63,2,4.25,0.18,Marketing,Mid,Young/Single,2,1,2,3,0,106344.41,4,4.25,0.36,3,Marketing_0,1
35365.21,0.2,5,2.65,0.22,Marketing,Entry,Older,3,1,2,2,0,176826.04,15,2.65,0.43,2,Marketing_0,1
52770.67,0.47,3,9.03,0.3,Product Design,Mid,Young/Single,3,1,3,2,0,158312.02,9,9.03,0.91,2,Product Design_0,1
75317.88,0.31,1,1.38,0.63,Product Design,Executive,Young/Single,4,1,1,2,1,75317.88,4,1.38,0.63,2,Product Design_1,1
82441.86,0.35,1,2.84,0.25,Marketing,Mid,Older,4,1,3,3,1,82441.86,4,2.84,0.76,3,Marketing_1,1
56494.08,0.6,3,5.9,0.3,IT,Entry,Older,3,1,3,3,1,169482.23,9,5.9,0.89,3,IT_1,1
58944.75,0.39,1,3.07,0.59,Accounting,Entry,Mid-Age,4,0,1,2,1,58944.75,4,0,0.59,0,Accounting_1,1
67866.73,0.39,3,1.69,0.03,Accounting,Mid,Mid-Age,1,1,3,3,0,203600.2,3,1.69,0.1,3,Accounting_0,1
40384.11,0.33,2,13.24,0.42,IT,Senior,Young/Single,4,1,2,2,1,80768.23,8,13.24,0.83,2,IT_1,1
124082.97,0.59,4,4.9,0.17,Finance,Mid,Older,2,1,2,3,0,496331.89,8,4.9,0.33,3,Finance_0,1
55638.4,0.71,5,1.21,0.16,Accounting,Entry,Older,4,1,1,2,1,278191.98,20,1.21,0.16,2,Accounting_1,1
74617.89,0.47,3,3.51,0.03,Finance,Senior,Young/Single,4,1,1,3,0,223853.68,12,3.51,0.03,3,Finance_0,1
140904.05,0.47,5,2.15,0.08,Accounting,Senior,Young/Married,2,1,1,1,0,704520.25,10,2.15,0.08,1,Accounting_0,1
73237.11,0.57,3,0.41,0.37,IT,Entry,Young/Single,2,1,3,2,0,219711.34,6,0.41,1.1,2,IT_0,1
57828.97,0.65,2,2.59,0.23,IT,Entry,Young/Single,4,1,1,3,1,115657.95,8,2.59,0.23,3,IT_1,1
40521.76,0.66,3,6.58,0.51,HR,Mid,Young/Single,4,0,2,2,1,121565.28,12,0,1.01,0,HR_1,1
45463.27,0.39,4,3.86,0.2,IT,Mid,Older,1,1,3,1,0,181853.06,4,3.86,0.61,1,IT_0,1
60792.08,0.54,1,0.41,0.3,Finance,Mid,Young/Married,5,1,1,2,0,60792.08,5,0.41,0.3,2,Finance_0,1
53421.05,0.45,3,4.33,0.4,Product Design,Senior,Young/Married,3,1,3,2,0,160263.15,9,4.33,1.21,2,Product Design_0,1
74368.48,0.46,5,5.79,0.23,IT,Senior,Mid-Age,2,1,2,2,0,371842.42,10,5.79,0.46,2,IT_0,1
44014.43,0.58,3,8.26,0.47,Product Design,Mid,Young/Single,3,1,3,2,1,132043.28,9,8.26,1.42,2,Product Design_1,1
103358.74,0.5,3,1.49,0.19,Accounting,Entry,Young/Married,4,1,3,3,0,310076.23,12,1.49,0.57,3,Accounting_0,1
40899.57,0.62,2,1.59,0.49,Accounting,Senior,Young/Married,1,1,1,2,0,81799.13,2,1.59,0.49,2,Accounting_0,1
71442.25,0.51,3,1.47,0.13,Product Design,Senior,Young/Single,5,1,3,2,0,214326.75,15,1.47,0.39,2,Product Design_0,1
49499.8,0.36,3,3.22,0.37,Product Design,Senior,Young/Married,2,1,2,3,1,148499.41,6,3.22,0.75,3,Product Design_1,1
40956.07,0.61,4,2.03,0.2,IT,Mid,Mid-Age,5,1,2,3,1,163824.29,20,2.03,0.4,3,IT_1,1
65194.13,0.68,1,4.92,0.67,IT,Mid,Older,4,0,1,3,0,65194.13,4,0,0.67,0,IT_0,1
38386.9,0.54,2,4.65,0.35,Accounting,Mid,Mid-Age,3,1,3,2,0,76773.81,6,4.65,1.04,2,Accounting_0,1
78713.02,0.48,3,2.7,0.26,Accounting,Mid,Young/Single,4,1,1,3,1,236139.07,12,2.7,0.26,3,Accounting_1,1
80132.81,0.3,3,4.82,0.36,HR,Senior,Older,3,1,2,2,0,240398.42,9,4.82,0.71,2,HR_0,1
87722.89,0.34,3,1.21,0.3,IT,Entry,Young/Married,5,1,1,3,0,263168.66,15,1.21,0.3,3,IT_0,1
92844.43,0.59,3,1.37,0.17,Accounting,Entry,Young/Single,5,1,1,3,0,278533.28,15,1.37,0.17,3,Accounting_0,1
49845.08,0.29,4,9.32,0.4,IT,Entry,Young/Single,1,0,1,2,1,199380.34,4,0,0.4,0,IT_1,1
53735.76,0.38,3,1.73,0.27,Product Design,Mid,Older,5,0,3,2,0,161207.29,15,0,0.8,0,Product Design_0,1
37845.01,0.34,3,3.84,0.3,Accounting,Senior,Young/Married,4,1,2,3,0,113535.04,12,3.84,0.61,3,Accounting_0,1
84118.28,0.36,3,2.46,0.5,IT,Senior,Young/Single,4,1,2,3,1,252354.83,12,2.46,0.99,3,IT_1,1
52458.53,0.43,4,3.5,0.17,HR,Entry,Young/Single,5,0,1,3,1,209834.13,20,0,0.17,0,HR_1,1
62247.98,0.47,5,1.06,0.15,IT,Senior,Young/Single,3,1,3,2,0,311239.92,15,1.06,0.46,2,IT_0,1
77759.02,0.47,4,1.58,0.13,Marketing,Senior,Mid-Age,3,1,3,3,0,311036.06,12,1.58,0.4,3,Marketing_0,1
69679.01,0.56,4,0.81,0.12,HR,Mid,Mid-Age,3,1,1,2,1,278716.04,12,0.81,0.12,2,HR_1,1
66920.97,0.65,2,5.25,0.08,Accounting,Senior,Mid-Age,3,1,3,2,1,133841.94,6,5.25,0.25,2,Accounting_1,1
41423.23,0.21,3,5.62,0.09,Product Design,Senior,Mid-Age,2,1,1,2,0,124269.7,6,5.62,0.09,2,Product Design_0,1
57030.45,0.49,2,4.14,0.12,Product Design,Senior,Young/Married,4,1,3,3,1,114060.91,8,4.14,0.35,3,Product Design_1,1
82985.52,0.66,1,1.35,0.41,Marketing,Senior,Young/Single,2,1,2,2,1,82985.52,2,1.35,0.82,2,Marketing_1,1
66686.67,0.4,4,3.56,0.06,IT,Entry,Young/Married,4,0,2,1,0,266746.69,16,0,0.12,0,IT_0,1
82467.32,0.76,1,3.18,0.35,IT,Entry,Young/Single,4,1,2,3,0,82467.32,4,3.18,0.71,3,IT_0,1
72295.24,0.55,2,6.16,0.17,Accounting,Entry,Mid-Age,3,0,2,1,1,144590.49,6,0,0.34,0,Accounting_1,1
46654.58,0.47,5,0.86,0.27,Product Design,Mid,Young/Married,3,1,1,3,1,233272.89,15,0.86,0.27,3,Product Design_1,1
48644.03,0.48,3,1.37,0.23,HR,Entry,Mid-Age,5,0,2,3,1,145932.09,15,0,0.47,0,HR_1,1
59075,0.62,3,3.03,0.09,IT,Mid,Mid-Age,3,1,1,2,1,177224.99,9,3.03,0.09,2,IT_1,1
71565.66,0.56,1,1.7,0.25,Finance,Entry,Young/Married,5,1,1,3,0,71565.66,5,1.7,0.25,3,Finance_0,1
72528.16,0.56,5,1.33,0.1,IT,Mid,Older,4,1,3,2,1,362640.82,20,1.33,0.31,2,IT_1,1
69135.7,0.4,5,3.12,0.16,IT,Mid,Mid-Age,4,1,2,1,0,345678.52,20,3.12,0.32,1,IT_0,1
90392.69,0.48,3,1.75,0.26,Marketing,Mid,Mid-Age,2,1,2,3,0,271178.08,6,1.75,0.52,3,Marketing_0,1
42433.56,0.74,2,2.83,0.04,Finance,Entry,Young/Single,3,0,2,2,0,84867.11,6,0,0.07,0,Finance_0,1
28703.96,0.63,4,1.86,0.65,Finance,Mid,Mid-Age,1,1,2,2,0,114815.85,4,1.86,1.29,2,Finance_0,1
45671.56,0.47,3,5.35,0.29,Marketing,Senior,Young/Single,3,1,2,2,1,137014.68,9,5.35,0.59,2,Marketing_1,1
53144.53,0.66,2,2.39,0.56,Product Design,Senior,Young/Single,2,0,3,2,0,106289.06,4,0,1.68,0,Product Design_0,1
100213.61,0.64,4,3.78,0.65,IT,Mid,Mid-Age,5,1,1,2,1,400854.44,20,3.78,0.65,2,IT_1,1
52932.56,0.58,4,1.68,0.31,Product Design,Executive,Mid-Age,4,1,1,2,0,211730.26,16,1.68,0.31,2,Product Design_0,1
58247.99,0.54,3,3.51,0.27,Accounting,Executive,Mid-Age,4,1,2,3,0,174743.98,12,3.51,0.53,3,Accounting_0,1
47860.66,0.49,3,8.24,0.44,Finance,Mid,Older,1,1,1,3,1,143581.98,3,8.24,0.44,3,Finance_1,1
46793.12,0.32,3,0.56,0.26,HR,Mid,Older,5,1,3,3,1,140379.35,15,0.56,0.77,3,HR_1,1
29878.49,0.5,3,7.28,0.14,Marketing,Entry,Young/Single,1,1,2,3,1,89635.47,3,7.28,0.27,3,Marketing_1,1
50990.76,0.57,2,0.92,0.06,Marketing,Mid,Mid-Age,5,1,2,2,1,101981.51,10,0.92,0.13,2,Marketing_1,1
80758.13,0.3,3,0.45,0.3,IT,Senior,Older,2,1,1,3,0,242274.4,6,0.45,0.3,3,IT_0,1
50839.79,0.4,3,4.76,0.35,IT,Mid,Young/Single,5,1,2,2,0,152519.37,15,4.76,0.71,2,IT_0,1
94173.56,0.59,4,2.37,0.53,IT,Entry,Young/Single,4,1,1,3,1,376694.24,16,2.37,0.53,3,IT_1,1
47898.93,0.53,2,5.57,0.13,Product Design,Senior,Young/Single,4,0,3,2,1,95797.86,8,0,0.38,0,Product Design_1,1
49009.45,0.4,3,0.49,0.13,Product Design,Executive,Young/Single,2,1,2,2,1,147028.34,6,0.49,0.27,2,Product Design_1,1
42775.98,0.57,4,13.81,0.15,Finance,Senior,Older,3,1,3,3,0,171103.93,12,13.81,0.44,3,Finance_0,1
93061.23,0.68,3,2.77,0.33,HR,Mid,Older,3,1,2,2,0,279183.68,9,2.77,0.66,2,HR_0,1
63676.89,0.36,5,2.21,0.58,Product Design,Entry,Young/Married,4,0,3,2,0,318384.45,20,0,1.75,0,Product Design_0,1
43548.36,0.36,4,1.11,0.19,Accounting,Mid,Mid-Age,2,0,2,2,0,174193.46,8,0,0.39,0,Accounting_0,1
59856.63,0.33,3,3.9,0.29,Accounting,Mid,Older,2,1,2,2,1,179569.9,6,3.9,0.59,2,Accounting_1,1
59436.62,0.46,3,2.49,0.26,HR,Entry,Older,3,1,3,2,1,178309.87,9,2.49,0.78,2,HR_1,1
88543.82,0.42,3,4.94,0.2,Accounting,Executive,Older,4,1,1,2,0,265631.46,12,4.94,0.2,2,Accounting_0,1
44461.52,0.5,4,4.19,0.34,Finance,Entry,Young/Single,5,1,3,2,0,177846.06,20,4.19,1.03,2,Finance_0,1
43714.06,0.32,2,7.61,0.1,IT,Executive,Young/Single,3,0,3,3,0,87428.11,6,0,0.29,0,IT_0,1
81031.37,0.49,3,5.7,0.27,IT,Mid,Older,4,1,2,3,1,243094.1,12,5.7,0.54,3,IT_1,1
72251.05,0.66,4,2.11,0.12,HR,Entry,Older,4,1,2,2,1,289004.21,16,2.11,0.24,2,HR_1,1
45640.64,0.59,3,1.78,0.28,HR,Entry,Older,1,1,2,3,1,136921.91,3,1.78,0.57,3,HR_1,1
100189.64,0.58,4,1.59,0.35,Marketing,Mid,Young/Single,5,1,3,2,0,400758.56,20,1.59,1.05,2,Marketing_0,1
61517,0.56,4,4.69,0.21,Product Design,Entry,Young/Single,4,1,1,2,1,246068.02,16,4.69,0.21,2,Product Design_1,1
52697.66,0.57,1,5.22,0.31,Marketing,Entry,Young/Married,3,1,1,3,1,52697.66,3,5.22,0.31,3,Marketing_1,1
43660.35,0.33,3,6.04,0.04,IT,Senior,Young/Married,5,1,2,3,0,130981.05,15,6.04,0.08,3,IT_0,1
34504.94,0.3,3,5.14,0.29,Finance,Mid,Young/Single,2,0,1,3,1,103514.82,6,0,0.29,0,Finance_1,1
38219.21,0.7,3,2.82,0.06,IT,Entry,Young/Single,3,0,1,2,1,114657.63,9,0,0.06,0,IT_1,1
46788.43,0.44,5,2.51,0.05,HR,Mid,Young/Married,3,1,2,1,0,233942.15,15,2.51,0.11,1,HR_0,1
63896.18,0.37,3,1.47,0.74,HR,Mid,Young/Married,2,0,3,3,0,191688.53,6,0,2.21,0,HR_0,1
73653.56,0.58,3,4.58,0.24,Product Design,Mid,Mid-Age,3,1,1,1,1,220960.68,9,4.58,0.24,1,Product Design_1,1
55469.06,0.67,3,4.87,0.66,Accounting,Entry,Mid-Age,5,1,3,3,1,166407.19,15,4.87,1.99,3,Accounting_1,1
81855.22,0.34,2,4.61,0.26,Finance,Senior,Young/Married,3,0,2,2,1,163710.43,6,0,0.52,0,Finance_1,1
64286.4,0.27,5,4.02,0.3,HR,Senior,Older,4,1,1,3,1,321431.99,20,4.02,0.3,3,HR_1,1
40208.3,0.86,2,0.86,0.38,Finance,Mid,Young/Single,4,1,3,1,0,80416.61,8,0.86,1.13,1,Finance_0,1
58517.7,0.15,5,10.45,0.09,Finance,Senior,Mid-Age,5,1,1,3,0,292588.49,25,10.45,0.09,3,Finance_0,1
41009.65,0.57,3,3.5,0.24,IT,Entry,Mid-Age,2,1,2,2,1,123028.95,6,3.5,0.49,2,IT_1,1
93920.36,0.44,3,1.35,0.17,Accounting,Mid,Young/Single,5,1,2,2,0,281761.08,15,1.35,0.33,2,Accounting_0,1
66229.75,0.67,3,2.42,0.16,Marketing,Entry,Young/Single,4,1,3,2,0,198689.24,12,2.42,0.47,2,Marketing_0,1
86444.69,0.48,1,2.03,0.13,HR,Entry,Young/Single,4,1,3,2,1,86444.69,4,2.03,0.38,2,HR_1,1
41796.15,0.35,3,2.96,0.08,Finance,Entry,Young/Single,5,1,2,2,1,125388.44,15,2.96,0.15,2,Finance_1,1
52586.82,0.37,3,3.86,0.24,Accounting,Mid,Young/Single,5,1,1,3,1,157760.46,15,3.86,0.24,3,Accounting_1,1
54522.38,0.36,3,2.87,0.24,Marketing,Mid,Young/Single,4,1,2,1,0,163567.14,12,2.87,0.48,1,Marketing_0,1
33816.24,0.53,4,0.67,0.71,IT,Entry,Mid-Age,3,1,2,1,1,135264.95,12,0.67,1.42,1,IT_1,1
57419.46,0.47,3,4.86,0.33,IT,Senior,Older,5,1,1,3,0,172258.37,15,4.86,0.33,3,IT_0,1
84837.28,0.56,2,1.18,0.11,Finance,Mid,Older,5,1,3,3,1,169674.56,10,1.18,0.32,3,Finance_1,1
38227.38,0.47,4,8.47,0.53,Product Design,Mid,Older,4,1,3,3,1,152909.53,16,8.47,1.59,3,Product Design_1,1
59041.34,0.48,4,7.02,0.58,IT,Senior,Young/Single,5,1,3,3,0,236165.36,20,7.02,1.74,3,IT_0,1
56042.51,0.58,3,2.3,0.04,IT,Mid,Mid-Age,3,1,3,3,0,168127.52,9,2.3,0.12,3,IT_0,1
54014.25,0.53,3,2.68,0.4,Marketing,Senior,Older,3,1,3,3,0,162042.75,9,2.68,1.21,3,Marketing_0,1
49404.78,0.51,2,1.22,0.25,Product Design,Mid,Older,4,1,2,3,1,98809.57,8,1.22,0.49,3,Product Design_1,1
46205.04,0.69,3,8.13,0.57,IT,Senior,Older,1,1,2,2,1,138615.12,3,8.13,1.14,2,IT_1,1
52646.98,0.62,4,6.42,0.52,Marketing,Entry,Young/Single,1,0,2,2,0,210587.93,4,0,1.05,0,Marketing_0,1
39465.61,0.54,3,3.21,0.11,HR,Mid,Young/Married,3,1,2,3,1,118396.83,9,3.21,0.22,3,HR_1,1
